ip;nome
189.125.18.5;LVLT-3549
200.221.11.100;Universo Online S.A.
179.111.229.178;TELEFONICA BRASIL S.A
200.248.178.54;CLARO S.A.
177.131.114.86;ACESSOLINE TELECOMUNICACOES LTDA
54.94.175.250;AMAZON-02
200.221.11.101;Universo Online S.A.
45.235.35.52;TOP 37 ESTACOES E REDES DE TELECOMUNICACOES LTDA
45.235.35.235;TOP 37 ESTACOES E REDES DE TELECOMUNICACOES LTDA
177.12.230.174;ALOO TELECOM - FSF TECNOLOGIA SA
177.15.67.65;TELECOMUNICACOES BRASILEIRAS S. A. - TELEBRAS
177.36.152.171;GSTN DO BRASIL LTDA
177.43.35.247;TELEFONICA BRASIL S.A
177.43.56.139;TELEFONICA BRASIL S.A
177.47.128.2;Ver Tv Comunicacoes S/A
177.52.232.7;RSS SOCIEDADE CIVIL LTDA
177.66.203.10;Downup Telecomunicacoes e servico LTDA
177.92.0.90;COPEL Telecomunicacoes S.A.
177.135.204.163;TELEFONICA BRASIL S.A
177.159.232.50;TELEFONICA BRASIL S.A
177.159.232.52;TELEFONICA BRASIL S.A
177.159.232.53;TELEFONICA BRASIL S.A
177.184.131.54;SOBRALNET SERVICOS E TELECOMUNICACOES LTDA - ME
177.184.131.180;SOBRALNET SERVICOS E TELECOMUNICACOES LTDA - ME
179.127.175.242;Unifique Telecomunicacoes SA
186.194.224.82;R&R PROVEDOR DE INTERNET LTDA
186.215.128.142;TELEFONICA BRASIL S.A
186.225.194.29;Pannet Servicos On Line Ltda
187.1.175.81;WorldNet Telecom Comercio e Servicos de Telecomuni
187.6.84.178;Brasil Telecom S/A - Filial Distrito Federal
187.32.81.194;ALGAR TELECOM S/A
187.32.81.223;ALGAR TELECOM S/A
187.44.1.140;Rede Brasileira de Comunicacao Ltda
187.60.128.69;Navinet Ltda
187.120.208.172;AMPLITUDENET PROVEDOR DE ACESSO A INTERNET LTDA
189.4.130.159;CLARO S.A.
189.42.239.34;CLARO S.A.
189.111.254.56;TELEFONICA BRASIL S.A
189.113.75.5;VM OPENLINK COMUNICACAO MULTIMIDIA S.A.
189.125.73.13;LVLT-3549
192.146.229.22;Empresa Brasileira de Ens.Peq.Extensao S/A-EMBRAE
200.99.138.94;TELEFONICA BRASIL S.A
200.99.138.103;TELEFONICA BRASIL S.A
200.142.160.54;Telespazio Brasil S.A.
200.150.112.58;COPEL Telecomunicacoes S.A.
200.159.205.11;AMERICAN TOWER DO BRASIL-COMUNICACAO MULTIMIDIA LT
200.159.205.12;AMERICAN TOWER DO BRASIL-COMUNICACAO MULTIMIDIA LT
200.162.136.138;Transit do Brasil S/A
200.162.142.66;Transit do Brasil S/A
200.167.191.114;CLARO S.A.
200.169.8.1;Century Telecom Ltda
200.172.90.4;CLARO S.A.
200.174.105.3;CLARO S.A.
200.179.97.194;CLARO S.A.
200.185.113.202;TIVIT TERCEIRIZACAO DE PROCESSOS, SERV. E TEC. S/A
200.195.180.226;COPEL Telecomunicacoes S.A.
200.196.57.42;Mundivox LTDA
200.205.44.154;TELEFONICA BRASIL S.A
200.222.51.208;Telemar Norte Leste S.A.
200.223.129.162;Telemar Norte Leste S.A.
200.252.235.20;CLARO S.A.
201.28.69.242;TELEFONICA BRASIL S.A
201.44.177.131;CLARO S.A.
201.45.193.131;CLARO S.A.
201.64.113.214;CLARO S.A.
201.73.200.3;CLARO S.A.
186.216.63.97;METROFLEX TELECOMUNICACOES LTDA
186.237.202.26;ALGAR TECNOLOGIA E CONSULTORIA SA
179.191.86.162;Mundivox LTDA
177.43.76.244;TELEFONICA BRASIL S.A
187.120.48.47;RRM SERVICOS DE INFORMATICA LTDA
200.150.113.147;COPEL Telecomunicacoes S.A.
201.39.214.142;CLARO S.A.
201.87.219.232;INTERNEXA BRASIL OPERADORA DE TELECOMUNICACOES S.A
200.150.79.85;COPEL Telecomunicacoes S.A.
187.33.230.114;TELY Ltda.
189.124.138.68;CABO SERVICOS DE TELECOMUNICACOES LTDA
187.62.226.69;METROFLEX TELECOMUNICACOES LTDA
187.62.226.65;METROFLEX TELECOMUNICACOES LTDA
200.209.145.234;CLARO S.A.
201.30.200.141;CLARO S.A.
201.63.81.10;TELEFONICA BRASIL S.A
187.75.155.116;TELEFONICA BRASIL S.A
177.19.217.206;TELEFONICA BRASIL S.A
189.113.132.101;TELECALL TELECOMUNICACOES
189.55.193.173;CLARO S.A.
186.216.62.5;METROFLEX TELECOMUNICACOES LTDA
179.185.88.86;TELEFONICA BRASIL S.A
168.181.111.10;VERDANTE SERVICOS DE TELECOMUNICACOES LTDA
170.239.213.68;H NET SERVICOS DE COMUNICACAO E TECNOLOGIA LTDA
170.247.211.253;INTERLIGADOS PROVEDOR - ME
177.124.247.2;Mundivox LTDA
177.85.176.140;Ivr informatica ltda me
177.86.233.170;Pw Access Telecomunicacoes Ltda
177.93.250.3;TEN INTERNET Ltda
186.193.181.226;Jupiter Telecomunicacoes e Informatica Ltda
186.215.192.243;TELEFONICA BRASIL S.A
186.219.160.7;HEXATO TECNOLOGIA E FERRAMENTAS DE INTERNET LTDA
200.220.192.88;INTERNEXA BRASIL OPERADORA DE TELECOMUNICACOES S.A
45.233.172.10;TRINDADEWEB PROVEDOR
200.195.174.67;COPEL Telecomunicacoes S.A.
45.225.123.34;CENTROSULNET INFORMATICA EIRELI
45.225.123.54;CENTROSULNET INFORMATICA EIRELI
45.225.123.88;CENTROSULNET INFORMATICA EIRELI
